model,language,n,VALID_CORRECT,VALID_WRONG,VALID_VACUOUS,PARSE_FAIL,LEX_FAIL,OOM,TIMEOUT,HARNESS_ERROR
Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,21,1,18,0,2,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,21,0,0,0,21,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,21,0,0,0,21,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,21,0,11,0,10,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,21,12,9,0,0,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,21,8,9,0,4,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,21,6,14,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,21,8,12,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,identity,21,17,4,0,0,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,21,9,11,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,beta,21,18,2,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,21,13,5,0,3,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,identity,21,19,1,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,21,1,1,0,19,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,beta,21,11,3,0,7,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,21,8,0,0,13,0,0,0,0
