model,condition,language,parse_validity,semantic_accuracy,n
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,identity,0.9523809523809523,0.14285714285714285,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,alpha,0.6190476190476191,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,beta,0.9523809523809523,0.047619047619047616,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,bare,gamma,0.9523809523809523,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,identity,0.9047619047619048,0.047619047619047616,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,alpha,0.0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,beta,0.0,0.0,21
Qwen/Qwen2.5-Coder-0.5B-Instruct,scaffolded,gamma,0.5238095238095238,0.0,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,identity,0.8571428571428571,0.42857142857142855,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,alpha,0.7142857142857143,0.14285714285714285,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,beta,0.9047619047619048,0.19047619047619047,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,bare,gamma,0.6666666666666666,0.19047619047619047,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,identity,1.0,0.5714285714285714,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,alpha,0.8095238095238095,0.38095238095238093,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,beta,0.9523809523809523,0.2857142857142857,21
Qwen/Qwen2.5-Coder-1.5B-Instruct,scaffolded,gamma,0.9523809523809523,0.38095238095238093,21
Qwen/Qwen2.5-Coder-3B-Instruct,bare,identity,0.9523809523809523,0.5714285714285714,21
Qwen/Qwen2.5-Coder-3B-Instruct,bare,alpha,0.6190476190476191,0.19047619047619047,21
Qwen/Qwen2.5-Coder-3B-Instruct,bare,beta,1.0,0.6666666666666666,21
Qwen/Qwen2.5-Coder-3B-Instruct,bare,gamma,0.8095238095238095,0.38095238095238093,21
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,identity,1.0,0.8095238095238095,21
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,alpha,0.9523809523809523,0.42857142857142855,21
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,beta,0.9523809523809523,0.8571428571428571,21
Qwen/Qwen2.5-Coder-3B-Instruct,scaffolded,gamma,0.8571428571428571,0.6190476190476191,21
Qwen/Qwen2.5-Coder-7B-Instruct,bare,identity,0.9047619047619048,0.7142857142857143,21
Qwen/Qwen2.5-Coder-7B-Instruct,bare,alpha,0.09523809523809523,0.0,21
Qwen/Qwen2.5-Coder-7B-Instruct,bare,beta,1.0,0.19047619047619047,21
Qwen/Qwen2.5-Coder-7B-Instruct,bare,gamma,0.42857142857142855,0.3333333333333333,21
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,identity,0.9523809523809523,0.9047619047619048,21
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,alpha,0.09523809523809523,0.047619047619047616,21
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,beta,0.6666666666666666,0.5238095238095238,21
Qwen/Qwen2.5-Coder-7B-Instruct,scaffolded,gamma,0.38095238095238093,0.38095238095238093,21
