model,language,n,VALID_CORRECT,VALID_WRONG,VALID_VACUOUS,PARSE_FAIL,LEX_FAIL,OOM,TIMEOUT,HARNESS_ERROR
Qwen/Qwen2.5-Coder-0.5B-Instruct,identity,21,3,17,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,alpha,21,0,13,0,8,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,beta,21,1,19,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-0.5B-Instruct,gamma,21,0,20,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,21,9,9,0,3,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,21,3,12,0,6,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,21,4,15,0,2,0,0,0,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,21,4,10,0,7,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,identity,21,12,8,0,1,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,alpha,21,4,9,0,8,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,beta,21,14,7,0,0,0,0,0,0
Qwen/Qwen2.5-Coder-3B-Instruct,gamma,21,8,9,0,4,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,identity,21,15,4,0,2,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,alpha,21,0,2,0,19,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,beta,21,4,17,0,0,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,gamma,21,7,2,0,12,0,0,0,0
